id,account
A000014,neilabercrombie
A000022,repgaryackerman
A000055,robert_aderholt
A000069,senatorakaka
A000121,georgeallenva
A000148,repauchincloss
A000358,toddakin
A000360,senalexander
A000362,jasonaltmire
A000367,justinamash
A000368,kellyayotte
A000369,markamodeinv2
A000370,repadams
A000371,reppeteaguilar
A000372,reprickallen
A000373,repbradashford
A000374,repabraham
A000375,reparrington
A000376,repcolinallred
A000377,reparmstrongnd
A000378,repcindyaxne
B000013,bachusal06
B000072,rs__baker
B000208,roscoe_bartlett
B000213,repjoebarton
B000243,bigskymax
B000287,agbecerra
B000382,senbennett
B000444,joebiden
B000461,bilbrayca50
B000490,sanfordbishop
B000574,repblumenauer
B000575,royblunt
B000589,speakerboehner
B000652,leonardboswell
B000657,rickboucherdc
B000668,repbentz
B000711,barbaraboxer
B000740,repbice
B000755,repkevinbrady
B000825,repboebert
B000944,sensherrodbrown
B000953,irf_ambassador
B001135,senatorburr
B001223,jamaalbowmanny
B001224,repcori
B001227,bobbradyphl
B001229,brianbaird
B001230,senatorbaldwin
B001233,senevanbayh
B001234,joebacajr4us
B001236,johnboozman
B001239,greshambarrett
B001240,bobbeauprez
B001242,timbishopny
B001243,marshablackburn
B001248,michaelcburgess
B001250,reprobbishop
B001251,gkbutterfield
B001252,johnbarrowmc
B001253,crimsonbean09
B001254,danborenfub
B001256,michelebachmann
B001257,repgusbilirakis
B001258,boydanancy
B001259,brucebraley
B001260,vernbuchanan
B001261,senjohnbarrasso
B001262,paulbrounmd
B001263,repjohnboccieri
B001265,senatorbegich
B001266,rolandwburris
B001267,senatorbennet
B001268,senscottbrown
B001269,reploubarletta
B001270,repkarenbass
B001271,congressmandan
B001273,repdianeblack
B001274,repmobrooks
B001275,replarrybucshon
B001276,annmbuerkle
B001277,senblumenthal
B001278,repbonamici
B001279,repronbarber
B001280,repkerryb
B001281,repbeatty
B001282,repandybarr
B001283,jimbridenstine
B001284,@susanwbrooks
B001285,repbrownley
B001286,repcheri
B001287,repbera
B001288,senbooker
B001289,repbyrne
B001290,davebratva7th
B001291,repbrianbabin
B001292,repdonbeyer
B001293,mikebishopmi
B001294,reprodblum
B001295,repbost
B001296,congboyle
B001297,repkenbuck
B001298,repdonbacon
B001299,repjimbanks
B001300,repbarragan
B001301,repjackbergman
B001302,repandybiggsaz
B001303,replbr
B001304,repanthonybrown
B001305,reptedbudd
B001306,repbalderson
B001307,repjimbaird
B001309,reptimburchett
B001310,senatorbraun
B001311,repdanbishop
B001312,repbourdeaux
B001313,repshontelbrown
C000059,kencalvert
C000127,senatorcantwell
C000141,senatorcardin
C000174,senatorcarper
C000266,repstevechabot
C000286,saxbychambliss
C000380,delegatedonna
C000537,whipclyburn
C000542,sendancoats
C000556,howardcoble
C000567,senthadcochran
C000714,repjohnconyers
C000754,repjimcooper
C000880,mikecrapo
C000984,repcummings
C001035,senatorcollins
C001036,reploiscapps
C001038,joecrowleyny
C001039,repkatcammack
C001040,lincolnchafee
C001041,hillaryclinton
C001045,andercrenshaw
C001046,ericcantor
C001047,sencapito
C001049,lacyclaymo1
C001051,judgecarter
C001053,tomcoleok04
C001054,repjerrycarl
C001055,repedcase
C001056,johncornyn
C001059,repjimcosta
C001061,repcleaver
C001062,conawaytx11
C001063,repcuellar
C001066,usrepkcastor
C001067,repyvetteclarke
C001068,repcohen
C001069,repjoecourtney
C001070,senbobcasey
C001071,bobcorker
C001072,repandrecarson
C001074,travchilders
C001075,senbillcassidy
C001076,jasoninthehouse
C001077,repmikecoffman
C001078,gerryconnolly
C001080,repjudychu
C001081,realmarkcritz
C001082,cansecotx23
C001083,johncarneyde
C001084,repcicilline
C001086,chipcravaack
C001087,reprickcrawford
C001088,chriscoons
C001090,repcartwright
C001091,joaquincastrotx
C001093,repdougcollins
C001094,reppaulcook
C001095,sentomcotton
C001096,senkevincramer
C001097,repcardenas
C001098,sentedcruz
C001099,mocowan
C001100,chiesanews
C001101,repkclark
C001102,repcurtclawson
C001103,repbuddycarter
C001104,repcawthorn
C001105,barbaracomstock
C001106,ryancostello
C001107,carloslcurbelo
C001108,repjamescomer
C001109,replizcheney
C001110,reploucorrea
C001111,repcharliecrist
C001112,repcarbajal
C001113,sencortezmasto
C001114,repjohncurtis
C001115,repcloudtx
C001116,rep_clyde
C001117,repcasten
C001118,repbencline
C001119,repangiecraig
C001120,repdancrenshaw
C001121,repjasoncrow
C001125,reptroycarter
C001126,repmikecarey
C001127,congresswomansc
D000032,repdonaldspress
D000096,repdannydavis
D000168,nathandeal
D000191,reppeterdefazio
D000197,repdianadegette
D000216,@rosadelauro
D000294,mikedewine
D000355,johndingell
D000388,senchrisdodd
D000399,replloyddoggett
D000432,byrondorgan
D000482,usrepmikedoyle
D000533,repjohnduncanjr
D000563,senatordurbin
D000595,jimdemint
D000596,govmarkdayton
D000598,repsusandavis
D000600,mariodb
D000602,arturdavis
D000603,repgeoffdavis
D000604,repcharliedent
D000607,joeforindiana
D000608,kdahlkemper
D000610,repteddeutch
D000611,djou4hawaii
D000612,jeffdenham
D000613,repdold
D000614,seanduffywi
D000615,repjeffduncan
D000616,desjarlaistn04
D000617,repdelbene
D000618,stevedaines
D000619,rodneydavis
D000620,johndelaney
D000621,rondesantisfl
D000622,senduckworth
D000623,repdesaulnier
D000624,repdebdingell
D000625,repdandonovan
D000626,warrendavidson
D000627,repvaldemings
D000628,drnealdunnfl2
D000629,repdavids
D000630,repdelgado
D000631,repdean
E000071,repellzey
E000179,repeliotengel
E000215,repannaeshoo
E000285,senatorenzi
E000287,rahmemanuel
E000288,keithellison
E000290,repdonnaedwards
E000291,repreneeellmers
E000292,repbillenyart
E000293,elizabeth_esty
E000294,reptomemmer
E000295,senjoniernst
E000296,repdwightevans
E000297,repespaillat
E000298,repronestes
E000299,repescobar
F000043,chakafattah
F000061,russfeingold
F000062,senfeinstein
F000246,reppatfallon
F000262,haroldfordjr
F000444,jeffflake
F000446,repfeenstra
F000449,jefffortenberry
F000450,virginiafoxx
F000452,luisfortuno51
F000453,govmaryfallin
F000454,repbillfoster
F000455,repmarciafudge
F000456,repfleming
F000457,alfranken
F000459,repchuck
F000460,farenthold
F000461,repbillflores
F000462,reploisfrankel
F000463,senatorfischer
F000464,repjohnfaso
F000465,repdrewferguson
F000466,repbrianfitz
F000468,repfletcher
F000469,reprussfulcher
F000470,repfischbach
F000471,repfitzgerald
F000472,repfranklin
G000061,repmikegarcia
G000289,repgoodlatte
G000359,lindseygrahamsc
G000377,repkaygranger
G000386,chuckgrassley
G000535,repgutierrez
G000546,repsamgraves
G000548,repgarrett
G000550,drphilgingrey
G000551,repraulgrijalva
G000552,replouiegohmert
G000553,repalgreen
G000554,gabbygiffords
G000555,gillibrandny
G000556,alangrayson
G000558,repguthrie
G000559,repgaramendi
G000560,reptomgraves
G000562,sencorygardner
G000563,repbobgibbs
G000564,chrisgibsonny
G000565,repgosar
G000566,tgowdysc
G000567,ltgovtimgriffin
G000568,repmgriffith
G000570,repfrankguinta
G000571,tulsipress
G000573,joegarcia
G000574,reprubengallego
G000575,gwengraham
G000576,repgrothman
G000577,@repgarretgraves
G000578,repmattgaetz
G000579,repgallagher
G000580,reptomgarrett
G000581,repgonzalez
G000582,repjenniffer
G000583,repjoshg
G000584,gregformontana
G000585,repjimmygomez
G000586,repchuygarcia
G000587,repsylviagarcia
G000588,repagonzalez
G000589,lancegooden
G000590,repmarkgreen
G000591,repmichaelguest
G000592,repgolden
G000593,repcarlos
G000594,reptonygonzales
G000595,repbobgood
G000596,repmtg
G000597,repgarbarino
H000206,senatorharkin
H000273,senatorhick
H000324,rephastingsfl
H000329,dochastings
H000601,senatorhagerty
H000636,usreprhinojosa
H000874,leaderhoyer
H001016,kaybaileyhutch
H001034,repmikehonda
H001038,repbrianhiggins
H001041,sendeanheller
H001042,maziehirono
H001044,dhalvorsonbush
H001045,greggharper
H001046,martinheinrich
H001047,jahimes
H001049,kayhagan
H001050,rephanabusa
H001051,reprichardhanna
H001052,repandyharrismd
H001053,rephartzler
H001054,nanhayworth
H001056,herrerabeutler
H001057,conghuelskamp
H001058,rephuizenga
H001059,rephultgren
H001060,reproberthurt
H001061,senjohnhoeven
H001062,repkathyhochul
H001063,supjanicehahn
H001064,repdennyheck
H001065,repholding
H001066,rephorsford
H001067,reprichhudson
H001068,rephuffman
H001069,heidiheitkamp
H001070,rephardy
H001071,congressmanhice
H001072,repfrenchhill
H001073,hurdonthehill
H001074,reptrey
H001075,kamalaharris
H001076,senatorhassan
H001077,repclayhiggins
H001078,karenhandel
H001079,senhydesmith
H001080,secdebhaaland
H001081,repjahanahayes
H001082,repkevinhern
H001084,repherrell
H001085,rephoulahan
H001086,repharshbarger
H001088,rephagedorn
H001089,senhawleypress
H001090,repjoshharder
H001091,repashleyhinson
I000023,bobinglis
I000024,jiminhofe
I000026,jayinslee
I000055,senatorisakson
I000056,repdarrellissa
I000057,repsteveisrael
J000020,repjacobs
J000032,jacksonleetx18
J000126,repebj
J000174,samspressshop
J000177,reptimjohnson
J000255,repwalterjones
J000287,bobbyjindal
J000288,rephankjohnson
J000289,jim_jordan
J000291,secjohanns
J000292,repbilljohnson
J000293,senronjohnson
J000294,repjeffries
J000295,repdavejoyce
J000296,davidjollyfl
J000297,evanjenkinswv
J000298,repjayapal
J000299,repmikejohnson
J000300,sendougjones
J000301,repdustyjohnson
J000302,repjohnjoyce
J000303,votebrendajones
J000304,repronnyjackson
J000305,repsarajacobs
J000306,repmondaire
K000009,repmarcykaptur
K000113,pjk4brainhealth
K000148,johnkerry
K000188,repronkind
K000210,reppeteking
K000220,jackkingston
K000336,dennis_kucinich
K000360,senatorkirk
K000362,stevekingia
K000363,repjohnkline
K000367,senamyklobuchar
K000368,repkirkpatrick
K000372,maryjokilroy
K000373,jason_e_kaufman
K000375,usrepkeating
K000376,mikekellypa
K000377,senmarkkelly
K000378,repkinzinger
K000379,repjoekennedy
K000380,repdankildee
K000381,repderekkilmer
K000382,repanniekuster
K000383,senangusking
K000384,timkaine
K000385,reprobinkelly
K000386,repjohnkatko
K000387,steveknight25
K000388,reptrentkelly
K000389,reprokhanna
K000390,repkihuen
K000391,congressmanraja
K000392,repdavidkustoff
K000393,senjohnkennedy
K000394,repandykimnj
K000395,repfredkeller
K000396,repkahele
K000397,repyoungkim
L000043,nlampson
L000111,tomlatham
L000123,franklautenberg
L000174,senatorleahy
L000261,sencarllevin
L000263,repsandylevin
L000266,replaturner
L000273,repteresalf
L000274,repjerrylewis
L000287,repjohnlewis
L000304,joelieberman
L000397,repzoelofgren
L000480,nitalowey
L000491,repfranklucas
L000551,repbarbaralee
L000552,senjonkyl
L000557,repjohnlarson
L000559,jimlangevin
L000560,repricklarsen
L000562,repstephenlynch
L000563,replipinski
L000564,repdlamborn
L000565,daveloebsack
L000566,boblatta
L000567,replancenj7
L000569,repblaine
L000570,senatorlujan
L000571,senlummis
L000572,george_lemieux
L000573,raul_labrador
L000574,jefflandry
L000575,senatorlankford
L000576,usreplong
L000577,senmikelee
L000578,replamalfa
L000579,replowenthal
L000580,govmlg
L000581,@replawrence
L000582,reptedlieu
L000583,reploudermilk
L000584,miablove
L000585,replahood
L000586,repallawsonjr
L000587,lewisformn
L000588,repconorlamb
L000589,repdlesko
L000590,repsusielee
L000591,repelaineluria
L000592,repandylevin
L000593,repmikelevin
L000594,kloeffler
L000595,repjulialetlow
M000087,repmaloney
M000133,senmarkey
M000194,repnancymace
M000303,senjohnmccain
M000309,repmccarthyny
M000312,repmcgovern
M000317,repmalliotakis
M000355,mcconnellpress
M000404,repjimmcdermott
M000639,senatormenendez
M000687,repkweisimfume
M000702,senatorbarb
M000725,askgeorge
M000871,repmann
M000934,jerrymoran
M001111,pattymurray
M001135,repkmanning
M001136,replisamcclain
M001137,repgregorymeeks
M001139,repgarymiller
M001142,repjimmatheson
M001143,bettymccollum04
M001144,repjeffmiller
M001149,mikehmichaud
M001150,candicemiller
M001153,lisamurkowski
M001154,repbradmiller
M001155,repconniemack
M001156,patrickmchenry
M001157,repmccaul
M001158,repkenmarchant
M001159,cathymcmorris
M001160,repgwenmoore
M001163,dorismatsui
M001164,timmahoney67a
M001165,gopleader
M001166,repmcnerney
M001167,harryemitchell
M001168,patrickmurphypa
M001169,chrismurphyct
M001170,clairecmc
M001172,betsymarkey
M001174,repmikemcmahon
M001176,senjeffmerkley
M001177,repmcclintock
M001180,repmckinley
M001181,patmeehanpa
M001183,sen_joemanchin
M001184,repthomasmassie
M001185,repseanmaloney
M001186,repmeijer
M001187,markmeadows
M001188,repgracemeng
M001190,repmullin
M001191,patrickmurphyfl
M001193,reptommacarthur
M001194,repmoolenaar
M001195,repalexmooney
M001196,repmoulton
M001197,senmcsallyaz
M001198,rogermarshallmd
M001199,repbrianmast
M001200,repmceachin
M001201,reppaulmitchell
M001202,repstephmurphy
M001203,repmalinowski
M001204,repmeuser
M001205,repcarolmiller
M001206,repjoemorelle
M001208,replucymcbath
M001210,repgregmurphy
M001211,repmarymiller
M001212,repbarrymoore
M001213,repblakemoore
M001214,repmrvan
M001215,repmmm
N000002,repjerrynadler
N000015,reprichardneal
N000026,reptroynehls 
N000032,nelsonforsenate
N000127,usrepricknolan
N000147,eleanornorton
N000179,gracenapolitano
N000181,repdevinnunes
N000182,randyneugebauer
N000183,glennnye
N000184,kristinoem
N000187,repmcleod
N000188,donaldnorcross
N000189,repnewhouse
N000190,repralphnorman
N000191,repjoeneguse
N000192,repmarienewman
O000019,jayobernolte
O000086,repburgessowens
O000167,barackobama
O000168,reppeteolson
O000169,billowensny
O000170,betoorourke
O000171,repohalleran
O000172,repaoc
O000173,ilhan
O000174,senossoff
P000034,frankpallone
P000048,reppfluger
P000096,billpascrell
P000145,senalexpadilla
P000197,speakerpelosi
P000258,collinpeterson
P000449,senrobportman
P000523,repdavideprice
P000583,ronpaul
P000586,adamputnam
P000591,secpricemd
P000592,judgetedpoe
P000593,repperlmutter
P000594,erikpaulsen
P000595,sengarypeters
P000596,pedropierluisi
P000597,chelliepingree
P000598,jaredpolis
P000599,congbillposey
P000600,tomperriello
P000601,congpalazzo
P000602,mikepompeo
P000603,randpaul
P000604,repdonaldpayne
P000605,repscottperry
P000606,reppittenger
P000607,repmarkpocan
P000608,repscottpeters
P000609,usrepgarypalmer
P000610,staceyplaskett
P000611,brucepoliquin
P000612,sendavidperdue
P000613,repjimmypanetta
P000614,repchrispappas
P000615,repgregpence
P000616,repdeanphillips
P000617,reppressley
P000618,repkatieporter
Q000023,repmikequigley
R000011,repnickrahall
R000053,cbrangel
R000103,reprosendale
R000122,senjackreed
R000146,senatorreid
R000170,silvestrereyes
R000305,repdeborahross
R000307,senpatroberts
R000395,rephalrogers
R000409,danarohrabacher
R000435,roslehtinen
R000486,reproybalallard
R000515,repbobbyrush
R000573,mikerossupdates
R000575,repmikerogersal
R000576,call_me_dutch
R000577,reptimryan
R000580,peterroskam
R000582,drphilroe
R000583,tomrooney
R000584,senatorrisch
R000585,tomreedny23
R000586,jimrenacci
R000587,repribble
R000588,reprichmond
R000589,repscottrigell
R000590,reprivera
R000591,repmartharoby
R000592,toddrokitain
R000593,ambdennisross
R000594,repjonrunyan
R000595,senrubiopress
R000596,treyradel
R000597,reptomrice
R000598,keithrothfus
R000599,repraulruizmd
R000600,repamata
R000601,dni_ratcliffe
R000602,repkathleenrice
R000603,repdavidrouzer
R000604,reprussell
R000605,senatorrounds
R000606,repraskin
R000607,reprooney
R000608,senjackyrosen
R000609,reprutherfordfl
R000610,greschenthaler
R000612,repjohnrose
R000614,repchiproy
R000615,senatorromney
S000030,lorettasanchez
S000033,sensanders
S000051,marksanford
S000059,ricksantorum
S000148,senschumer
S000168,repmariasalazar
S000185,bobbyscott
S000244,jimpressoffice
S000248,repjoseserrano
S000250,petesessions
S000275,repjohnshadegg
S000320,senshelby
S000344,bradsherman
S000364,repshimkus
S000480,louiseslaughter
S000510,repadamsmith
S000522,repchrissmith
S000709,senarlenspecter
S000770,senstabenow
S000822,repcliffstearns
S000929,repspartz
S000937,stockmansenate
S001004,ted_strickland
S001078,johnsununu
S001135,repsteel
S001141,jeffsessions
S001145,janschakowsky
S001148,congmikesimpson
S001150,repadamschiff
S001153,hildasolis
S001155,usrepsullivan
S001156,replindasanchez
S001157,repdavidscott
S001159,repstricklandwa
S001162,allysonschwartz
S001163,kensalazar
S001165,repsires
S001168,repsarbanes
S001169,joesestak
S001170,repsheaporter
S001171,heathshuler5
S001172,repadriansmith
S001174,bettysutton
S001175,repspeier
S001176,stevescalise
S001177,kilili_sablan
S001178,markschauer
S001179,aaronschock
S001180,repschrader
S001181,senatorshaheen
S001183,repdavid
S001184,senatortimscott
S001185,repterrisewell
S001186,rep_southerland
S001187,repstevestivers
S001188,repstutzman
S001189,austinscottga08
S001190,repschneider
S001191,senatorsinema
S001192,repchrisstewart
S001193,repswalwell
S001194,senbrianschatz
S001195,repjasonsmith
S001196,repstefanik
S001197,sensasse
S001198,sendansullivan
S001199,repsmucker
S001200,repdarrensoto
S001201,reptomsuozzi
S001202,senatorstrange
S001203,sentinasmith
S001204,guamcongressman
S001205,repmgs
S001207,repsherrill
S001208,repslotkin
S001209,repspanberger
S001211,repgregstanton
S001212,reppetestauber
S001213,repbryansteil
S001214,repgregsteube
S001215,rephaleystevens
S001216,repkimschrier
S001217,senrickscott
S001218,rep_stansbury 
T000024,jimtalent
T000165,reptiffany
T000193,benniegthompson
T000238,mactxpress
T000250,senjohnthune
T000266,reptierney
T000278,sentuberville
T000326,edtowns
T000460,repthompson
T000461,sentoomey
T000462,pattiberi
T000463,repmiketurner
T000464,@senatortester
T000467,congressmangt
T000468,repdinatitus
T000469,reppaultonko
T000470,reptipton
T000472,repmarktakano
T000473,repmarktakai
T000474,normajtorres
T000476,senthomtillis
T000478,reptenney
T000479,repvantaylor
T000480,reptimmons
T000481,reprashida
T000482,reploritrahan
T000483,repdavidtrone
T000486,repritchie
U000031,repfredupton
U000038,markudall
U000039,senatortomudall
U000040,repunderwood
V000081,nydiavelazquez
V000108,repvisclosky
V000127,davidvitter
V000128,chrisvanhollen
V000129,repdavidvaladao
V000130,repjuanvargas
V000131,@repveasey
V000132,repfilemonvela
V000133,congressman_jvd
V000134,repbethvanduyne
W000187,repmaxinewaters
W000215,waxmanclimate
W000413,repedwhitfield
W000437,senatorwicker
W000779,ronwyden
W000788,repnikema
W000789,heatheranwilson
W000790,senatorwarnock
W000791,repgregwalden
W000795,repjoewilson
W000796,westmoreland_ga
W000797,repdwstweets
W000798,repwalberg
W000799,tim_walz
W000800,peterwelch
W000802,senwhitehouse
W000803,jimwebbusa
W000804,robwittman
W000805,markwarner
W000806,repwebster
W000807,allenwest
W000808,repwilson
W000809,rep_stevewomack
W000810,reprobwoodall
W000811,walshfreedom
W000812,@repannwagner
W000813,repwalorski
W000814,txrandy14
W000815,repbradwenstrup
W000816,reprwilliams
W000817,senwarren
W000819,repmarkwalker
W000820,mimiwaltersca
W000821,repwesterman
W000822,repbonnie
W000823,repwaltzpress
W000825,repwexton
W000826,repsusanwild
W000827,repronwright
Y000033,repdonyoung
Y000062,repjohnyarmuth
Y000063,kevinyoder
Y000064,sentoddyoung
Y000065,reptedyoho
Y000066,repdavidyoung
Z000017,repleezeldin
Z000018,ryanzinke
